央视频道,#genre#
浙江卫视,http://111.40.205.87/PLTV/88888888/224/3221225612/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225697/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225643/index.m3u8
安徽卫视,http://111.40.205.87/PLTV/88888888/224/3221225727/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225631/index.m3u8
山东卫视,http://111.40.205.87/PLTV/88888888/224/3221225737/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225650/index.m3u8
湖北卫视,http://111.40.205.87/PLTV/88888888/224/3221225705/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225627/index.m3u8
东方卫视,http://111.40.205.87/PLTV/88888888/224/3221225700/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225735/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225647/index.m3u8
北京卫视,http://111.40.205.87/PLTV/88888888/224/3221225701/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225728/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225651/index.m3u8
天津卫视,http://111.40.205.87/PLTV/88888888/224/3221225740/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225648/index.m3u8
深圳卫视,http://111.40.205.87/PLTV/88888888/224/3221225739/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225645/index.m3u8
江西卫视,http://111.40.205.87/PLTV/88888888/224/3221225615/index.m3u8
重庆卫视,http://111.40.205.87/PLTV/88888888/224/3221225618/index.m3u8
辽宁卫视,http://111.40.205.87/PLTV/88888888/224/3221225619/index.m3u8
东南卫视,http://111.40.205.87/PLTV/88888888/224/3221225620/index.m3u8 
四川卫视,http://111.40.205.87/PLTV/88888888/224/3221225621/index.m3u8
广西卫视,http://111.40.205.87/PLTV/88888888/224/3221225622/index.m3u8
河北卫视,http://111.40.205.87/PLTV/88888888/224/3221225623/index.m3u8
山西卫视,http://111.40.205.87/PLTV/88888888/224/3221225624/index.m3u8
陕西卫视,http://111.40.205.87/PLTV/88888888/224/3221225625/index.m3u8
贵州卫视,http://111.40.205.87/PLTV/88888888/224/3221225626/index.m3u8
青海卫视,http://111.40.205.87/PLTV/88888888/224/3221225628/index.m3u8
宁夏卫视,http://111.40.205.87/PLTV/88888888/224/3221225632/index.m3u8 
甘肃卫视,http://111.40.205.87/PLTV/88888888/224/3221225633/index.m3u8
黑龙江卫视,http://111.40.205.87/PLTV/88888888/224/3221225640/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225658/index.m3u8
内蒙古卫视,http://111.40.205.87/PLTV/88888888/224/3221225634/index.m3u8
新疆卫视,http://111.40.205.87/PLTV/88888888/224/3221225635/index.m3u8 
云南卫视,http://111.40.205.87/PLTV/88888888/224/3221225636/index.m3u8 
吉林卫视,http://111.40.205.87/PLTV/88888888/224/3221225637/index.m3u8
西藏卫视,http://111.40.205.87/PLTV/88888888/224/3221225638/index.m3u8
海南卫视,http://111.40.205.87/PLTV/88888888/224/3221225639/index.m3u8
BTV少儿,http://111.40.205.87/PLTV/88888888/224/3221225654/index.m3u8 
山东教育,http://111.40.205.87/PLTV/88888888/224/3221225655/index.m3u8
优漫卡通,http://111.40.205.87/PLTV/88888888/224/3221225656/index.m3u8 
炫动卡通,http://111.40.205.87/PLTV/88888888/224/3221225657/index.m3u8 
广东省内,#genre#
广东 Ⅰ 经济科教,http://nclive.grtn.cn/tvs1hd/hd/live.m3u8
广东 Ⅰ 珠江频道,http://nclive.grtn.cn/zjpd/sd/live.m3u8
广东 Ⅰ 广东新闻,http://nclive.grtn.cn/xwpd/sd/live.m3u8
广东 Ⅰ 汕头综合,http://dslive.grtn.cn/stzh/playlist.m3u8
广东 Ⅰ 潮州综合,http://live.zscz0768.com/live/zhpd.m3u8
广东 Ⅰ 潮州公共,http://live.zscz0768.com/live/ggpd.m3u8
广东 Ⅰ 番禺综合台,http://live.pybtv.cn/channel1/sd/live.m3u8?_upt=16fb00e01563813775
广东 Ⅰ 广州综合台,http://aplay.gztv.com/sec/zhonghe.m3u8
广东 Ⅰ 广州影视台,http://aplay.gztv.com/sec/yingshi.m3u8
广东 Ⅰ 广州新闻台,http://aplay.gztv.com/sec/xinwen.m3u8
广东 Ⅰ 广州少儿台,http://aplay.gztv.com/sec/shaoer.m3u8
香港电视,#genre#
凤凰资讯,http://liveali.ifeng.com/live/FHZX.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8#p8p://0198.02686.cc:16871/5d1a69d90003dbfb11be6dc698fb9973.ts#vjms://23.237.33.155:8500:3502/live/cid=401#rtmp://58.200.131.2:1935/livetv/fhzx#http://liveali.ifeng.com/live/FHZX.flv
凤凰中文台HD,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8#http://liveali.ifeng.com/live/FHZW.m3u8
凤凰电影台,https://116.77.72.195/streams/d/fhdy/playlist.m3u8
星空卫视,rtmp://58.200.131.2:1935/livetv/startv
TVBS,vjms://58.215.133.185:8500:3502/live/cid=349#vjms://23.237.33.155:8500:3502/live/cid=349
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
